layout_seed,rho,seed,t_r3b,t_conc,totalL_r3b,totalL_conc,block_r3b,block_conc
3,0.6,10,2.2208238693603666,0.3643558529854,2.196660630340323,0.3638700451814195,0.0005240599674334163,0.0
3,0.8,1,5.955116609954667,1.951679116524362,5.9181010096274145,1.9515242161831905,0.010006366429540232,2.7785881993359175e-05
3,0.8,2,5.853552574235012,2.0957153861131808,5.781212140171887,2.0901919093477486,0.009499798024822053,0.0
3,0.8,3,5.935003500925804,2.327990220480341,5.856019509505654,2.330512343284173,0.01028657448706512,0.00022201870507590265
3,0.8,4,6.048875362693653,2.4081671993672917,6.002122443434612,2.409637364077149,0.010104650356920092,0.00030527148348064996
3,0.8,5,6.009527496249719,2.0275528781938776,5.931774226837588,2.0193356430997462,0.011874469889737066,6.972819947843307e-05
3,0.8,6,5.869639537515248,2.1153872052472504,5.7914125213261824,2.109960537448266,0.0100897485924522,8.35421888053467e-05
3,0.8,7,5.896684674332995,2.3123723027056267,5.83051947782784,2.316097791415589,0.010660477011174738,0.00027725407563491185
3,0.8,8,6.101582535477854,2.2153383158787863,6.063574105403081,2.2300051945773505,0.011523952964585263,5.5219636102598086e-05
3,0.8,9,6.088675741746001,2.0090014859534993,6.036375128556031,2.011523330294539,0.011113112641512048,0.000333273159012956
3,0.8,10,5.922843388343808,2.2914210971522375,5.850146835619718,2.2799234543486615,0.011031662122308163,4.187487786493956e-05
3,1.0,1,13.391999626722399,13.864761388180234,12.519431250181253,13.541477206115033,0.06995125078761483,0.03003950824375924
3,1.0,2,13.424609384450278,14.476798218725547,12.474310031799053,13.999243518221022,0.06959018126383959,0.03064771284062298
3,1.0,3,13.369491786822156,14.590456189244156,12.39644834733211,14.15328716895575,0.06914632513722165,0.029001791058059206
3,1.0,4,13.39612725179403,14.415586349721117,12.412882410924755,14.020351381814317,0.0699388829407566,0.03122404916126889
3,1.0,5,13.564956133237455,14.655022641904992,12.637447982161172,14.157734469659284,0.07053279370183511,0.031462376612669624
3,1.0,6,13.809239160582125,14.6522921047139,12.871364854524831,14.299698212445929,0.07441372841141092,0.028286852589641434
