adapt_completed,adapt_energy,adapt_safety,adapt_tardy,axis,cost_usd,energy_wh,full_completed,full_energy,full_safety,full_tardy,label,n_stations,policy,rate,seed,tariff
,,,,tariff,1.228014245326678,8173.428302178326,,,,,,,adaptive,,26,flat
,,,,tariff,1.227913019036559,8136.086793577527,,,,,,,adaptive,,27,flat
,,,,tariff,1.2096035046550793,8044.02336436766,,,,,,,adaptive,,28,flat
,,,,tariff,1.35100162745199,8996.677516347158,,,,,,,adaptive,,29,flat
,,,,tariff,1.2303584696382621,8202.389797588883,,,,,,,adaptive,,30,flat
,,,,tariff,0.9667662220552803,7696.430965816935,,,,,,,full,,1,tou
,,,,tariff,0.993540790224638,7996.684694535291,,,,,,,full,,2,tou
,,,,tariff,0.9869814318243751,7967.29589842706,,,,,,,full,,3,tou
,,,,tariff,1.0300964207412315,8192.570508950688,,,,,,,full,,4,tou
,,,,tariff,0.952262560481269,7760.564298598776,,,,,,,full,,5,tou
,,,,tariff,1.063000632833543,8412.895433112439,,,,,,,full,,6,tou
,,,,tariff,0.8898925423885399,7209.332848516656,,,,,,,full,,7,tou
,,,,tariff,0.9324642730024585,7463.930108872734,,,,,,,full,,8,tou
,,,,tariff,0.9988944405992483,8054.078057122645,,,,,,,full,,9,tou
,,,,tariff,0.9887073945741215,7976.503415865461,,,,,,,full,,10,tou
,,,,tariff,0.9528525830612916,7892.8988128236515,,,,,,,full,,11,tou
,,,,tariff,0.9070169459153683,7278.410459462778,,,,,,,full,,12,tou
,,,,tariff,0.9719354926288537,7711.939841053388,,,,,,,full,,13,tou
,,,,tariff,1.0521333853751427,8335.769145459937,,,,,,,full,,14,tou
,,,,tariff,0.9910231587560079,7848.003261240926,,,,,,,full,,15,tou
,,,,tariff,0.9361621431311825,7445.90412274567,,,,,,,full,,16,tou
,,,,tariff,1.0859112923207235,8653.207440235505,,,,,,,full,,17,tou
,,,,tariff,1.0068344333039347,7988.741960260389,,,,,,,full,,18,tou
,,,,tariff,0.9673677592553672,7821.744605445715,,,,,,,full,,19,tou
,,,,tariff,1.0021386574520599,8144.525099299511,,,,,,,full,,20,tou
,,,,tariff,1.0084310538802563,8243.129825881415,,,,,,,full,,21,tou
,,,,tariff,0.9456749127364017,7643.940823577077,,,,,,,full,,22,tou
,,,,tariff,0.993082718607806,7890.056762973135,,,,,,,full,,23,tou
,,,,tariff,0.9352503949924781,7518.339495009718,,,,,,,full,,24,tou
