config,policy,layout_id,seed,n_stations,mission_rate,missions_total,missions_completed,unfinished_at_cap,miss_rate,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,f12_makespan_capped_min,f12_tardiness_capped_min,makespan_min,total_tardiness_min,mean_charge_duration_min,total_charge_energy_wh,mission_flight_energy_wh,safety_violations,gate_binding_rate,mean_on_pad_queue_length,runtime_per_decision_us,charge_sessions
density_scarce,ours,3,23,2,0.8,788,788,0,0.0,2.489603916556433,1.005,1.484603916556433,0.0,1005.0,0.0,1005.0,0,3.392018779342723,10954.617291295066,7396.7769015673575,0,0.06632064590542099,7.872636815920398,1113.1003458211853,852
density_scarce,ours,3,24,2,0.8,766,766,0,0.0,2.501376289778577,1.005,1.4963762897785773,0.0,1005.0,0.0,1005.0,0,3.81020942408377,10951.964112373762,7336.811505256016,0,0.0685897435897436,8.597014925373134,1116.5702573728197,764
density_scarce,ours,4,25,2,0.8,782,740,42,0.5831202046035806,3.9682798937278774,1.135,1.5177970394870703,1.3154828542408075,1135.0,46291.84164073401,1135.0,41343.11695914546,3.8066666666666666,12405.73473683666,8241.594722306672,0,0.0453056768558952,12.343612334801762,624.5581878503727,900
density_scarce,ours,4,26,2,0.8,777,738,39,0.5276705276705277,4.113953935525702,1.135,1.5124813157395562,1.4664726197861457,1135.0,51275.21515082259,1135.0,46321.91999420444,3.7290533188248096,12450.132420020349,8341.642599769371,0,0.055970149253731345,12.27488986784141,612.6809169226555,919
density_scarce,ours,4,27,2,0.8,789,742,47,0.6032953105196451,4.00028192686543,1.135,1.486125600376515,1.379156326488915,1135.0,48966.94537198893,1133.0,43877.33663740888,3.8757062146892656,12402.852086736257,8473.673183576027,0,0.044751381215469614,12.420264317180617,613.7783421738619,885
density_scarce,ours,4,28,2,0.8,744,744,0,0.4583333333333333,3.0156712717731096,1.102,1.4895461449815355,0.42412512679157427,1102.0,14199.709244981907,1102.0,14199.709244981907,3.683798882681564,12140.093920393438,8244.184956448611,0,0.04665203073545554,11.16606170598911,714.3843028097364,895
density_scarce,ours,4,29,2,0.8,865,767,98,0.6023121387283237,4.804586158261946,1.135,1.4939003632349142,2.1756857950270327,1135.0,84688.56957142724,1135.0,71266.08462173305,3.573208722741433,12519.86868710157,8482.34768513552,0,0.04332313965341488,13.191189427312775,523.7547396283471,963
density_scarce,ours,4,30,2,0.8,791,777,14,0.5575221238938053,3.4351157905386676,1.135,1.4867070953558414,0.8134086951828262,1135.0,28953.282505032697,1135.0,27567.75222015246,4.0402761795166855,12673.970085080005,8629.347738573533,0,0.05186020293122886,13.006167400881058,534.2992133011552,869
density_scarce,B3_use_queue_term_False,0,1,2,0.8,785,785,0,0.0,2.5571302278997576,1.001,1.5561302278997577,0.0,1001.0,0.0,1001.0,0,3.6947791164658637,10380.918449015227,6679.551361441393,0,0.05414438502673797,0.0,2096.2308843733426,747
density_scarce,B3_use_queue_term_False,0,2,2,0.8,809,809,0,0.0,2.538120938627629,1.0,1.538120938627629,0.0,1000.0,0.0,1000.0,0,3.720626631853786,10769.707351261175,7019.197090938834,0,0.057942708333333336,0.0,2076.160547479352,766
density_scarce,B3_use_queue_term_False,0,3,2,0.8,808,808,0,0.0,2.5533719573830593,0.998,1.5553719573830591,0.0,998.0,0.0,998.0,0,3.7992227979274613,10938.857184096707,7041.52499692523,0,0.0517464424320828,0.0,2057.809055644903,772
density_scarce,B3_use_queue_term_False,0,4,2,0.8,822,822,0,0.0,2.5534224842997246,1.0,1.5534224842997246,0.0,1000.0,0.0,1000.0,0,3.621859296482412,10898.592323803474,7026.587487170332,0,0.03383458646616541,0.0,2051.9251857719673,796
density_scarce,B3_use_queue_term_False,0,5,2,0.8,760,760,0,0.0,2.5597095730490396,1.0,1.5597095730490396,0.0,1000.0,0.0,1000.0,0,3.595687331536388,10082.994151923454,6483.89567305995,0,0.04771505376344086,0.0,2012.1509419417418,742
density_scarce,B3_use_queue_term_False,0,6,2,0.8,861,861,0,0.0,2.54124925306638,1.002,1.5392492530663802,0.0,1002.0,0.0,1002.0,0,3.6447688564476888,11367.618447642999,7428.481833939758,0,0.046553808948004836,0.0,2023.4039904405572,822
density_scarce,B3_use_queue_term_False,1,7,2,0.8,730,730,0,0.0,2.493954986102614,1.002,1.4919549861026138,0.0,1002.0,0.0,1002.0,0,3.458149779735683,11917.92535318852,7988.126628619385,0,0.1448237885462555,0.0,1537.4903078267907,908
density_scarce,B3_use_queue_term_False,1,8,2,0.8,777,777,0,0.0,2.503669205067607,0.999,1.504669205067607,0.0,999.0,0.0,999.0,0,3.378159757330637,12672.798287120058,8455.545075468974,0,0.14768145161290322,0.0,1500.289214398494,989
density_scarce,B3_use_queue_term_False,1,9,2,0.8,794,794,0,0.0,2.5118737920468126,1.001,1.510873792046813,0.0,1001.0,0.0,1001.0,0,3.2625482625482625,12990.413655470325,8606.772489703691,0,0.14175506268081003,0.0,1460.6859204256073,1036
density_scarce,B3_use_queue_term_False,1,10,2,0.8,842,842,0,0.0,2.4961582834587253,1.001,1.4951582834587251,0.0,1001.0,0.0,1001.0,0,3.546234509056244,14096.726941853593,9443.856500946864,0,0.1435361216730038,0.0,1491.7190116852303,1049
density_scarce,B3_use_queue_term_False,1,11,2,0.8,796,796,0,0.0,2.520894800674451,1.002,1.518894800674451,0.0,1002.0,0.0,1002.0,0,3.5267326732673268,13464.740530353054,8867.02216486959,0,0.1503461918892186,0.0,1463.7617218611222,1010
