n,m,rho,seed,t_r1,t_r3a,t_c_analytic
10,9,1.006,13,40.78981107568906,44.00026447069078,42.44567026101301
10,9,1.006,14,40.76731708262941,45.29225449950011,42.44567026101301
10,9,1.006,15,40.41011855802047,45.236937480953316,42.44567026101301
10,9,1.01,1,41.159494950395874,43.76049845695172,44.893833804020225
10,9,1.01,2,41.18859892309224,45.72687343110489,44.893833804020225
10,9,1.01,3,40.77503827553788,45.490332721075745,44.893833804020225
10,9,1.01,4,41.67146503796692,45.15485101535116,44.893833804020225
10,9,1.01,5,41.25813366112188,45.3527541437123,44.893833804020225
10,9,1.01,6,41.067217558108624,46.00175507840129,44.893833804020225
10,9,1.01,7,40.70481420613996,45.306779331460774,44.893833804020225
10,9,1.01,8,40.836539757445074,47.96371610248268,44.893833804020225
10,9,1.01,9,41.3672597190294,47.13454184605673,44.893833804020225
10,9,1.01,10,40.711478719963004,49.30754351138029,44.893833804020225
10,9,1.01,11,41.288230824135596,46.87524153969655,44.893833804020225
10,9,1.01,12,41.14102051900841,47.40861242506656,44.893833804020225
10,9,1.01,13,41.180806231259055,46.603737233135384,44.893833804020225
10,9,1.01,14,41.293521563328284,46.59126040375682,44.893833804020225
10,9,1.01,15,40.75379140558821,43.86473030709433,44.893833804020225
